Local time,Open,High,Low,Close,Volume
04.07.2005 23:00:00.000 GMT+0200,1.47559,1.48357,1.47241,1.48046,437903.4977
05.07.2005 23:00:00.000 GMT+0200,1.48030,1.48388,1.47077,1.47568,439184.2041999999
06.07.2005 23:00:00.000 GMT+0200,1.47562,1.48465,1.46426,1.46699,446994.79909999995
07.07.2005 23:00:00.000 GMT+0200,1.46733,1.46837,1.45288,1.45590,437942.7973
08.07.2005 23:00:00.000 GMT+0200,1.45590,1.45590,1.45590,1.45590,0
09.07.2005 23:00:00.000 GMT+0200,1.45590,1.45590,1.45590,1.45590,0
10.07.2005 23:00:00.000 GMT+0200,1.45659,1.46987,1.45467,1.46940,486335.0972
11.07.2005 23:00:00.000 GMT+0200,1.46908,1.47819,1.46406,1.47221,499573.6021000001
12.07.2005 23:00:00.000 GMT+0200,1.47239,1.47414,1.45605,1.45982,435440.99650000007
13.07.2005 23:00:00.000 GMT+0200,1.45925,1.46561,1.45017,1.46467,438792.4973
14.07.2005 23:00:00.000 GMT+0200,1.46438,1.47177,1.45867,1.46911,433066.30490000005
15.07.2005 23:00:00.000 GMT+0200,1.46911,1.46911,1.46911,1.46911,0
16.07.2005 23:00:00.000 GMT+0200,1.46911,1.46911,1.46911,1.46911,0
17.07.2005 23:00:00.000 GMT+0200,1.46676,1.47520,1.46258,1.46566,432483.59790000005
18.07.2005 23:00:00.000 GMT+0200,1.46556,1.47039,1.45923,1.46695,441329.0030000001
19.07.2005 23:00:00.000 GMT+0200,1.46706,1.48592,1.46087,1.48095,411591.90160000004
20.07.2005 23:00:00.000 GMT+0200,1.48063,1.48848,1.46670,1.48054,445772.7973
21.07.2005 23:00:00.000 GMT+0200,1.48013,1.48452,1.46625,1.46909,445628.0980999998
22.07.2005 23:00:00.000 GMT+0200,1.46909,1.46909,1.46909,1.46909,0
23.07.2005 23:00:00.000 GMT+0200,1.46909,1.46909,1.46909,1.46909,0
24.07.2005 23:00:00.000 GMT+0200,1.46899,1.47295,1.46400,1.46866,444498.69769999996
